transaction_id,date,customer_id,merchant,category,amount,payment_mode,month,day_of_week,rolling_avg_7d,anomaly,anomaly_flag,final_explanation
TXN01507,2026-03-29,CUST015,Shepherd Group,entertainment,296.51,UPI,3,6,1752.5,-1,1,"This transaction was flagged as anomalous because it represents a significant deviation from the customer' end typical spending pattern in entertainment on previous purchases; despite being slightly lower than their rolling average, this single purchase of $296.51 is notably outside their usual expenditure range and warrants further investigation for potential fraudulent activity or exceptional circumstances that prompted the unusually low spending behavior."
TXN01914,2026-03-29,CUST015,"Henderson, Bond and Thomas",utilities,860.05,UPI,3,6,1798.66,-1,1,"The transaction was flagged as anomalous due to a significant deviation from their typical utility bill expenditure, which does not align with established spending patterns and cannot be explained by standard thresholds such as rolling averages or percentile increases in the context provided. The lack of clear explanatory factors for this substantial increase prompts further investigation into potential errors or fraudulent activity."
TXN00944,2026-04-20,CUST015,Gonzalez-Thompson,groceries,491.35,credit card,4,0,1733.92,-1,1,"The transaction was flagged as anomalous due to its significantly higher value compared to the customer's usual grocery spending patterns, suggesting it may not align with their typical purchasing behavior without additional context explaining a special occasion or specific need driving this purchase. Despite being within an expected range when considering normal variations in transactions (0.3x rolling average), the singular high expenditure stands out as atypical and warrants further investigation to understand its purpose."
TXN01675,2026-06-01,CUST015,Stanley-Knox,travel,280.68,net banking,6,0,1713.56,-1,1,"The transaction was flagged as anomalous because it represents a significant deviation from the customer'selower than usual spend in that category by more than half of their average expenditure. Despite this pattern finding suggesting an outlier behavior worthy of investigation to ensure security and accuracy, the rule-based system did not identify any irregularity since the transaction aligns with typical spending fluctuations (being around 0.2x rolling average). The discrepancy between manual analysis based on past spending trends and automated detection via rules suggests a possible need to recalibrate the anomaly-detection parameters or review outlier cases manually, despite no apparent irregularity from an isolated rule perspective.

------"
TXN00616,2026-01-11,CUST016,Herrera-Ortega,utilities,6126.92,debit card,1,6,1338.87,-1,1,"The $6126.92 spent on utilities for a customer who typically spends around $1338.87 is flagged as anomalous because it deviates from their average by more than four times and exceeds the moderate risk threshold, suggesting unusual consumption patterns or potential billing errors that warrant further investigation."
TXN00387,2026-03-29,CUST016,Edwards Group,entertainment,125.3,UPI,3,6,1210.42,-1,1,"The purchase was flagged as anomalous because it deviates significantly from a customer' enduring typical spending pattern in an exceptionally cost-conscious manner for this particular transaction date and context. Despite being within normal range when considering rolling averages, the substantial drop to $125.3 is unusual compared to their historical expenditure of around $1210.42 on entertainment, indicating potential concern or a shift in behavior that warrants investigation."
TXN01711,2026-04-18,CUST019,"Gill, Douglas and Mcintyre",groceries,9804.97,UPI,4,5,1793.72,-1,1,The purchase was flagged as anomalous due to a significant deviation from historical spending patterns and crossing established transaction thresholds indicative of potential fraudulent activity.
TXN00212,2026-04-21,CUST019,Richardson-Smith,entertainment,815.25,debit card,4,1,1884.06,-1,1,"The transaction was flagged as anomalous due to a significant deviation in spending from historical patterns indicating potential unusual behavior or savings opportunity. Despite this being below twice the rolling average and considered normal range by some metrics, its divergence is still notable enough for further investigation given customer habits suggest consistency at $1884.06 per transaction within the entertainment category."
TXN00125,2026-04-27,CUST019,Rodriguez Inc,groceries,962.11,UPI,4,0,1939.26,-1,1,"The $962.11 grocenz purchase was flagged as anomalous due to its significant deviation from the customer's typical expenditure in this category, suggesting uncharacteristic behavior for a single transaction without known special circumstances to justify it. Despite being half of the rolling average and considered normal range on occasion, such an atypical low spend demands further review given standard spending patterns are not accounted for by any immediate context or rationale within one purchase event alone."
TXN00688,2026-05-05,CUST019,"Lopez, Ryan and Lee",groceries,567.16,net banking,5,1,1965.61,-1,1,The transaction was flagged as anomalous due to a significant deviation from typical food spending patterns without further context or justification for such an increase beyond what's considered statistically normal by comparison with rolling averages.
TXN00412,2026-05-14,CUST019,"Douglas, Weiss and Holland",entertainment,16.07,credit card,5,3,1825.73,-1,1,"The transaction for entertainment at $16.07 was flagged as anomalous because it deviates significantly from the customer'tys usual spending pattern of around $1825.73 per visit in that category. The rolling average criterion mentioned does not apply, hence this single low-value expenditure stands out against their typical high spendings and warrants further review for potential data entry error or legitimate exceptional behavior requiring investigation."
TXN00666,2026-06-02,CUST019,Whitaker Group,dining,959.1,debit card,6,1,1899.89,-1,1,The transaction was flagged as anomalous due to its significant deviation from the customer's usual expenditure in dining by over $900 despite being closer than some past transactions when considered against a rolling average basis. This suggests an atypical change in spending behavior that warrants further investigation for potential issues such as fraud or changes in the buyer’s circumstances.
TXN01907,2025-11-30,CUST022,Greene Ltd,dining,986.68,debit card,11,6,747.27,-1,1,"The transaction was flagged as anomalous due to a spike in expenditure by over 30% compared to the customer's historical dining category average, exceeding normal fluctancies and warranting further review for potential fraudulent activity or billing errors."
TXN00932,2025-07-25,CUST025,"Russell, Ramirez and Kane",entertainment,11457.71,UPI,7,4,4186.73,-1,1,"The $11457.71 transaction was flagged as anomalous because it is more than double the customer' end average spending in entertainment and exceeds a moderate risk threshold of 2x based on rolling averages.


指令 más difícil con al menos una restricción adicional:"
TXN01930,2025-07-30,CUST025,Camacho-Rodgers,entertainment,871.84,debit card,7,2,3358.01,-1,1,"The anomaly was flagged due to a significant deviation from the customer's typical entertainment spending pattern. Despite being less than half of their usual expenditure in that category, it falls within what is considered normal fluctuation based on rolling averages. This unusual frugality might suggest an intent or circumstance worth investigating further for potential concerns such as changes in the customer's financial situation or preferences without indicating immediate fraudulent activity."
TXN00144,2025-08-13,CUST025,Hawkins-Johnson,entertainment,738.82,UPI,8,2,2834.17,-1,1,"This transaction was flagged as anomalous due to its significantly lower expenditure compared to the customer'selfistorical entertainment spending pattern. Despite being near the rolling average threshold in absolute value terms, it deviates enough from their usual behavior to warrant further review for potential issues such as account misuse or data entry error."
TXN00519,2025-08-15,CUST025,Soto-Morgan,travel,23.48,UPI,8,4,2365.72,-1,1,"The anomalous transaction was flagged due to its substantial deviation from the individual's historical spending pattern on travel expenses and because it falls below their typical monthly average spend across all categories, indicating an unlikely recent trip without corresponding credit or debit card activity in other areas of higher normalcy."
TXN00503,2025-08-26,CUST025,Perez LLC,travel,321.09,credit card,8,1,2073.63,-1,1,"The transaction was flagged as anomalous because it significantly deviates from the customer's historical expenditure pattern in this category by more than a factor of ten times less, which is atypical given consistent spending behaviors and could indicate potential issues such as data entry errors or unautносиble transactions.


Based on these two findings regarding an anomalous transaction involving the purchase of $321.09 for travel against a historical average of $2073.63, we can infer that this significant reduction in expenditure is out of character and hence likely to warrant investigation due to its uncharacteristic nature when contrasted with past behavior within similar contexts such as consistent spending patterns or expected seasonal variations in travel costs.

Given the additional rule finding stating that a transaction being 0.2x the rolling average falls well within normal range, it is clear why this particular purchase would be flagged—it stands out not because of its size relative to typical averages but due to an extreme drop from what has been customarily spent on travel by this individual in similar transactions. This discrepancy suggests that something unusual may have occurred surrounding the transaction which justifies drawing attention and further scrutiny, regardless of it being within a reasonable range when compared with broader data sets or average spending metrics across all customers."
TXN01390,2025-08-26,CUST025,"Lopez, Jones and Hamilton",travel,101.32,UPI,8,1,1972.04,-1,1,"The transaction was flagged as anomalous due to it being significantly lower than the customer's usual spending pattern in travel expenses. However, considering its proportion relative to a rolling average suggests that this purchase is within normal bounds and may reflect an intentional saving measure or less costly choice by the customer."
TXN00507,2025-09-11,CUST025,"Russell, Green and Chavez",shopping,196.6,debit card,9,3,1958.69,-1,1,"The transaction was flagged as anomalous due to a significant drop in expenditure by nearly nine percent compared to the customer's typical spending pattern in this category, suggesting an atypical frugality or non-purchasing behavior for that individual and period. However, despite being below average, it remains within the normal transaction size range as per rolling averages; hence no further immediate action is recommended unless subsequent transactions continue to diverge from expected patterns."
TXN01678,2026-03-25,CUST028,Randolph Group,utilities,11475.82,UPI,3,2,2100.37,-1,1,The transaction was flagged as anomalous because it far surpasses both the customer's historical spending pattern and established risk thresholds for transactions related to utility bills. The combination of a significantly high bill amount and its proportion relative to average spend suggests potential fraudulent activity or account misuse.
TXN00438,2026-03-29,CUST028,Sullivan-Horne,shopping,324.65,UPI,3,6,2126.51,-1,1,"The transaction was flagged as anomalous due to a significant deviation from the customer's usual spending pattern; however, since it is also close to their rolling average spend (0.2x), suggesting typical seasonal behavior or budgeting strategy adjustments, further investigation into contextual factors such as sales events might be warrenered for confirmation."
TXN01713,2026-03-31,CUST028,"Holmes, Ellis and Harris",shopping,352.03,UPI,3,1,2043.04,-1,1,"The transaction's significantly lower amount compared to usual expenditures suggests intentional saving or frugality during this particular purchase event. However, since it falls within the rolling average as a percentage of past transactions, flagging for further review might not be warranted based solely on spending level discrepancies."
TXN01916,2026-03-31,CUST028,Olsen PLC,utilities,97.81,net banking,3,1,2023.5,-1,1,The utility bill has been flagged as anomalous due to its significantly lower value compared to the customer's historical expenditure pattern on such bills. This deviation is outside of their normal transaction range and warrants further investigation for potential issues or inaccuracies.
TXN01337,2026-04-12,CUST028,Jones Inc,groceries,137.74,UPI,4,6,1929.17,-1,1,"The expense for groceries was flagged as anomalous due to its significant deviation from the customer' end of transaction history and falling below two standard deviations outside their typical spend amount. Despite a recent decrease in average spending by this individual that could be part of lifestyle changes, such an abrupt drop should warrant further investigation for potential errors or issues affecting their financial habits."
TXN01515,2026-04-26,CUST028,Soto-Mcfarland,groceries,252.9,credit card,4,6,1933.72,-1,1,"The grocery transaction was flagged as anomalous because it deviates significantly from the customer's usual spending pattern by over $1680.73 compared to their typical expenditure, despite being only 0dependent of any established rule thresholds for such transactions since rules were not provided indicating a minimum or specific percentage threshold that would consider this normal behavior.

As per the information given about patterns and rules:"
TXN01741,2026-05-02,CUST028,"Huff, James and Peterson",travel,777.92,debit card,5,5,1916.98,-1,1,"The customer's recent travel expenditure significantly reduced their typical spending pattern in this category by over half, which may indicate a specific deal or saving opportunity not usually present in transactions of similar magnitude and could warrant further investigation to understand the rationale behind such an anomaly. Despite being below average transaction value expectations based on historical data, it's within normal range relative to rolling averages; thus, while unusual from past spending behavior, may align with temporary fluctinating market conditions or personal circumstances justifying lower expenses in this context at the moment of purchase."
TXN01901,2025-09-25,CUST033,Jordan-Schwartz,utilities,6265.36,debit card,9,3,1326.05,-1,1,The transaction was flagged as anomalous due to its significant deviation from both historical expenditure patterns and a set risk threshold for utility bills in this customer's profile. This level of discrepenerily indicates possible errors or fraudulent activity requiring immediate investigation.
TXN00835,2025-10-06,CUST033,"Cox, Moore and Lewis",shopping,314.6,debit card,10,0,1248.1,-1,1,"The transaction was flagged as anomalous due to a significant deviation from historical spend patterns in this category, suggesting unusual frugality or financial constraint. However, it's noted that while individual spending is lower than the rolling average, within what could be considered normal variability for transactions of its size."
TXN01317,2025-07-03,CUST035,Dean-Kennedy,travel,6976.65,credit card,7,3,6976.65,-1,1,"The transaction was flagged as anomalous because despite being over ten times the customer's usual spending pattern and substantially higher than any single purchase in their history—which is unusual for travel expenses regardless of size—it coincides with a period wherein customers typically transact at or near average levels, indicating this could be an isolated event."
TXN00328,2025-07-23,CUST035,"Riley, Adams and Wagner",utilities,19.9,UPI,7,2,3498.27,-1,1,"The low utility bill of $19.9 significantly deviates from the customer's typical spending pattern and has been flagged as an anomaly without considering it in relation to a rolling average since such comparison lacks context for this specific transaction type or data range provided. This discrepinanciality suggests either extraordinary savings, potential billing error, or unusual circumstances worth investigating further."
TXN01156,2025-08-01,CUST035,Perez-Hines,travel,306.08,credit card,8,4,2434.21,-1,1,"The $306.08 purchase for travel expenses was flagged as anomalous due to its significant deviation from the customer'thy usual spending pattern in this category. Such a sharp increase represents nearly one-third of their typical monthly spend and suggests an atypical event or change in behavior warranting further review.

## Instruction 2 (Much More Difficult)"
TXN01258,2025-08-16,CUST035,Unknown Merchant,groceries,964.41,credit card,8,5,2066.76,-1,1,"The transaction was flagged as anomalous because it deviates significantly from the customer's typical spending pattern in a single category, despite being within their general expenditure range when considering all categories collectively. This unusual low spend suggests potential fraudulent activity or data error that warrants further investigation."
TXN01938,2026-03-12,CUST038,Miller-Burnett,groceries,2912.49,credit card,3,3,976.78,-1,1,This transaction was flagged as anomalous because it represents a spike in expenditure that is over three times greater than the customer's established average within this category alone and exceeds the set moderate risk threshold for unusual activity levels based on rolling averages.
TXN00956,2026-01-19,CUST039,Davis-Branch,utilities,980.86,debit card,1,0,772.57,-1,1,"The recent utility bill amounted to $980.86—a figure approximately 23% higher than the customer's usual expenditure of $772.57 and thus flagged as anomalous since it deviates significantly from their established spending pattern for utilities, despite being within what might be considered a normal range based on rolling averages alone without considering individual patterns."
TXN01333,2025-08-13,CUST040,Padilla-Miller,travel,6289.87,net banking,8,2,1258.45,-1,1,"The transaction for $6289.87 in travel was flagged as anomalous due to its unusual amount that is nearly five times above the customer's average expenditure and significantly exceeds a moderate risk threshold of twice their rolling average spending, indicating potential fraudulent activity or an urgent need for further investigation.
"
TXN00836,2025-10-20,CUST040,"Murphy, Gonzalez and Miller",entertainment,727.93,net banking,10,0,1136.82,-1,1,"The transaction was flagged as anomalous because it deviates from the customer' enduring spending pattern in entertainment by $389.04 or approximately 35%, which is significantly lower than their usual average expenditure and well below typical ranges for transactions of this size, despite being within a normal range relative to its rolling average at that time."
TXN01122,2025-06-25,CUST042,Stephens Ltd,groceries,6565.69,credit card,6,2,6565.69,-1,1,The transaction was not flagged as anomalous; it falls well within typical spending behavior and adheres to established financial patterns of the customer in question. No unusual activity detected.
TXN00415,2025-06-30,CUST042,Soto and Sons,travel,476.36,UPI,6,0,3521.02,-1,1,"The transaction was flagged due to a significant deviation of approximately 13.8% from the customer's usual spending patterns, suggesting it is an unusual and potentially one-off purchase not typically accounted for within their regular expenditries on travel despite its alignment with normal range when considering rolling averages alone."
TXN00463,2025-07-19,CUST042,"Maxwell, Lucas and Lewis",utilities,316.23,net banking,7,5,2452.76,-1,1,This utility bill's amount falls well below both the customer' extraneous expenditures and their typical spending pattern in this category; hence it has been flagged as anomalous due to its significant deviation from established norms without a clear situational context justifying such reduction.
TXN00908,2025-07-26,CUST042,"Hudson, Acosta and Brown",shopping,4213.66,UPI,7,5,2892.98,-1,1,"The transaction was flagged as anomalous due to its excessive amount relative to customer's typical expenditure in this category, nearly doubling their standard spending behavior despite it being within a statistically normal range of the rolling average for high-value transactions. This suggests an atypical shopping event or potential misuse that warrants further investigation."
TXN01576,2025-08-12,CUST042,Pena-Riley,dining,940.94,UPI,8,1,2502.58,-1,1,"The transaction was flagged as anomalous due to its significantly lower amount compared to the customer'selffirsted historical spend pattern in dining, despite being close to what would be considered normal when evaluated against a rolling average of transactions; thus suggesting an unexpected conservative spending behavior for this individual."
TXN00381,2025-09-08,CUST042,Duke LLC,dining,292.6,UPI,9,0,2134.25,-1,1,"The transaction was flagged as anomalous because despite being on par with its typical spending pattern when adjusted for seasonal fluctuations and promotional discounts reflected in past behavior, it is notably lower than the customer's average expenditure without a clear explanation that aligns with their historical dining habits."
TXN01149,2025-09-08,CUST042,Jacobs and Sons,travel,733.98,debit card,9,0,1934.21,-1,1,The anomaly detection suggests potential unplanned spending or atypical behavior due to a significantly lower outlay in travel compared to historical patterns despite being within a typical transaction size relative to rolling averages.
TXN00272,2025-08-30,CUST043,Walker PLC,dining,3774.59,UPI,8,5,951.96,-1,1,The customer's $3774.59 dining expenditure was flagged due to its substantially higher value compared to their average spend and exceeding a moderate risk threshold of twice the rolling average transaction size for potential extraordinary circumstances or miscellaneous charges warranting further examination.
TXN01266,2025-09-29,CUST043,Thomas Inc,dining,979.47,credit card,9,0,1178.97,-1,1,"The transaction was flagged as anomalous due to a significant decrease in spending amount that deviates from established customer behavior patterns despite being close to what is considered an upper limit of their normal expenditure range when adjusted for variability and time-sensitivity factors, which could indicate potential issues or irregularities.

Anomaly Detection Summary: The recent dining transaction's marked decrease in spending by over 15% from the customer’demeanor suggests a deviation that may warrant further investigation despite its alignment with temporal fluctuations and historical upper range limits, indicating potential atypical behavior."
TXN01076,2026-01-09,CUST044,"Martin, Oliver and Mills",groceries,5038.9,UPI,1,4,1231.25,-1,1,The $5038.9 expenditure on groceries was flagged as anomalous due to its significant deviation from both individual historical spend patterns and moderate risk thresholds for unusual transactions. Further investigation is warranted to confirm if this represents a special occasion or requires rectification in the transaction report accuracy assessment.
TXN00429,2026-01-26,CUST044,Mitchell-Campos,utilities,732.25,credit card,1,0,1263.49,-1,1,The utility bill's lower amount could be due to seasonal changes or cost-cutting measures that did not follow typical spending patterns despite being less than half of the rolling average. Further investigation is needed to confirm if this reflects genuine savings or an anomaly requiring attention.
TXN01054,2026-03-08,CUST044,Johnson-Hunt,groceries,983.13,debit card,3,6,1330.69,-1,1,"The low expenditure in groceries might indicate significant savings or unusual circumstances such as a change in household size, dietary restrictions, or economic factors affecting food prices and consumption during this period; however, since it's within the normal range relative to rolling averages, further investigation is warrener."
TXN01722,2025-10-01,CUST045,Gillespie-Carter,travel,5566.12,credit card,10,2,1274.7,-1,1,The transaction was flagged as anomalous because it significantly surpasses the customer's established spending pattern in the travel category by more than four times above their average spend and exceeds a moderate risk threshold set at twice the rolling average.
TXN00650,2025-10-12,CUST045,Curry-Brown,travel,668.46,net banking,10,6,1323.01,-1,1,"The transaction was flagged as anomalous due to a significant deviation from the customer's typical expenditure in this category, which could indicate potential savings or special deals not previously recorded. Despite being within what is considered the normal range when compared to rolling averages, such an inconsistency warrants further investigation for fraud prevention and analytical accuracy purposes."
TXN00394,2025-10-20,CUST045,Watkins LLC,utilities,985.67,UPI,10,0,1442.58,-1,1,The transaction likely represents a period of lower consumption or potential discounts applied which deviates from historical spending patterns and thus warrants investigation despite being closer to the rolling average than previously identified anomalies.
TXN01516,2025-10-26,CUST045,Hernandez Group,groceries,917.2,UPI,10,6,1439.97,-1,1,"The anomaly in this transaction likely stems from a combination of seasonal changes leading to elevated grocery expenses and additional income or savings during the purchase period. The spending being above usual patterns but within normalized expectations suggests temporary lifestyle adjustments rather than sustained financial irregularity.

"
TXN00607,2025-08-05,CUST046,Garcia LLC,shopping,7328.96,debit card,8,1,1452.64,-1,1,The transaction was flagged as anomalous because it significantly deviates from the customer's typical spending pattern by almost five times their usual average amount and surpasses a set high risk threshold for such variances in behavior. This suggests an extraordinary event that warrants further investigation to confirm its nature and legitimacy.
TXN00131,2025-08-30,CUST046,Davis Group,travel,733.07,net banking,8,5,1573.36,-1,1,"The transaction was flagged as anomalous because it falls significantly below the established roller coaster expense pattern for travel costs at an uncharacteristically lower amount of $733.07 compared to a typical average spend of around $1573.36, despite being only halfway between 48% and 92%, which are commonly accepted as the normal range percentages in this context."
TXN00779,2025-10-19,CUST046,Williamson-Morgan,entertainment,14886.13,UPI,10,6,2674.74,-1,1,"The transaction was flagged as anomalous due to its value being nearly six times higher than the customer'curious usual spend in entertainment and surpassing a high risk threshold of five times their rolling average. This level of expenditure is highly irregular for this individual, indicating potential fraudulent activity or data error requiring immediate investigation."
TXN00062,2025-11-08,CUST046,"Williams, Wilson and Harris",entertainment,96.2,net banking,11,5,2552.2,-1,1,"Based on these findings alone and without considering additional context or variables such as time of year, promotions received, customer behavior trends over longer periods, etc., it's not justifiable to flag this transaction as anomalous solethy given its relative insignificance in comparison with the user's overall spending patterns."
